id,temperatureVal,currentVal,vibrationVal,rpmVal,receivedTime,classifier,intClassifier
3103,31.19,0.12,45.67,39,2016-03-05 13:26:29,noload,1
3104,31.15,0.12,55.3,39,2016-03-05 13:26:30,noload,1
3105,31.19,0.12,44.63,39,2016-03-05 13:26:30,noload,1
3106,31.15,0.12,34.83,42,2016-03-05 13:26:30,noload,1
3107,31.19,0.12,50.05,42,2016-03-05 13:26:31,noload,1
3108,31.15,0.12,49.35,42,2016-03-05 13:26:31,noload,1
3109,31.19,0.12,32.55,42,2016-03-05 13:26:31,noload,1
3110,31.21,0.12,36.22,42,2016-03-05 13:26:32,noload,1
3111,31.19,0.11,48.65,42,2016-03-05 13:26:32,noload,1
3112,31.21,0.13,40.25,39,2016-03-05 13:26:32,noload,1
3113,31.21,0.12,28,39,2016-03-05 13:26:33,noload,1
3114,31.21,0.12,42.88,39,2016-03-05 13:26:33,noload,1
3115,31.25,0.11,44.27,42,2016-03-05 13:26:33,noload,1
3116,31.27,0.12,29.4,42,2016-03-05 13:26:34,noload,1
